file_name,time_ms,channel,cluster,peak_amplitude,waveform_length
010.csv,266864.2,54,-1,0.0331906370338034,3.5
010.csv,266864.75,54,-1,0.0304481903297391,3.5
010.csv,266865.3,54,-1,0.0320655306936745,3.5
010.csv,266865.85,54,-1,0.0294637222821263,3.5
010.csv,266866.4,54,-1,0.0222208502175463,3.5
010.csv,266866.95,54,-1,0.0239788288739978,3.5
010.csv,266867.5,54,-1,0.0222911693638044,3.5
010.csv,266868.05,54,-1,0.0306591477685133,3.5
010.csv,266868.6,54,-1,0.0315732966698681,3.5
010.csv,266869.15,54,-1,0.0294637222821263,3.5
010.csv,266869.7,54,-1,0.0296043605746424,3.5
010.csv,266870.25,54,-1,0.032768722156255,3.5
010.csv,266870.8,54,-1,0.0284089350882554,3.5
010.csv,266871.35,54,-1,0.0274947861869007,3.5
010.csv,266871.9,54,-1,0.0270728713093523,3.5
010.csv,266872.45,54,-1,0.0241194671665139,3.5
010.csv,266873.0,54,-1,0.0210254247311594,3.5
010.csv,266873.55,54,-1,0.0236975522889656,3.5
010.csv,266874.1,54,-1,0.0224318076563205,3.5
010.csv,266874.7,54,-1,0.0186345737583854,3.5
010.csv,266875.25,54,-1,0.0177204248570306,3.5
010.csv,266875.8,54,-1,0.0224318076563205,3.5
010.csv,266876.35,54,-1,0.0217286161937399,3.5
010.csv,266876.9,54,-1,0.0246117011903203,3.5
010.csv,266877.45,54,-1,0.0295340414283844,3.5
010.csv,266878.0,54,-1,0.0249632969216106,3.5
010.csv,266878.55,54,-1,0.0241194671665139,3.5
010.csv,266879.1,54,-1,0.0255258500916751,3.5
010.csv,266879.65,54,-1,0.0186345737583854,3.5
010.csv,266880.2,54,-1,0.0205331907073529,3.5
010.csv,266880.75,54,-1,0.0212363821699335,3.5
010.csv,266881.3,54,-1,0.0223614885100625,3.5
010.csv,266881.85,54,-1,0.0224318076563205,3.5
010.csv,266882.4,54,-1,0.0191971269284498,3.5
010.csv,266883.0,54,-1,0.0177907440032887,3.5
010.csv,266883.55,54,-1,0.018142339734579,3.5
010.csv,266884.15,54,-1,0.019408084367224,3.5
010.csv,266884.75,54,-1,0.0168765951019339,3.5
010.csv,266885.35,54,-1,0.0172281908332242,3.5
010.csv,266885.9,54,-1,0.0184236163196112,3.5
010.csv,266886.45,54,-1,0.0174391482719984,3.5
010.csv,266887.25,54,-1,0.020603509853611,3.5
010.csv,266887.8,54,-1,0.0180720205883209,3.5
010.csv,266888.35,54,-1,0.0184939354658693,3.5
010.csv,266888.9,54,-1,0.019337765220966,3.5
010.csv,266889.45,54,-1,0.0191268077821918,3.5
010.csv,266890.0,54,-1,0.0273541478943846,3.5
010.csv,266890.55,54,-1,0.0189158503434176,3.5
010.csv,266891.15,54,-1,0.0197596800985143,3.5
010.csv,266891.7,54,-1,0.016946914248192,3.5
010.csv,266892.25,54,-1,0.0189158503434176,3.5
010.csv,267741.15,54,-1,0.0177204248570306,3.5
010.csv,267765.85,54,-1,0.0167359568094178,3.5
010.csv,267766.75,54,-1,0.0168765951019339,3.5
010.csv,267768.25,54,-1,0.01701723339445,3.5
010.csv,267768.8,54,-1,0.0187752120509015,3.5
010.csv,258789.3,55,-1,0.0168062759556759,3.5
010.csv,266826.85,55,-1,0.0170875525407081,3.5
010.csv,266828.15,55,-1,0.0188455311971596,3.5
010.csv,266832.65,55,-1,0.0200409566835465,3.5
010.csv,266833.2,55,-1,0.0175094674182565,3.5
010.csv,266834.2,55,-1,0.0188455311971596,3.5
010.csv,266834.8,55,-1,0.0166656376631598,3.5
010.csv,266835.8,55,-1,0.0168765951019339,3.5
010.csv,266837.2,55,-1,0.0177204248570306,3.5
010.csv,266837.75,55,-1,0.0192674460747079,3.5
010.csv,266838.4,55,-1,0.0184939354658693,3.5
010.csv,266838.95,55,-1,0.0191268077821918,3.5
010.csv,266839.5,55,-1,0.0166656376631598,3.5
010.csv,266840.05,55,-1,0.019408084367224,3.5
010.csv,266840.95,55,-1,0.0170875525407081,3.5
010.csv,266841.7,55,-1,0.020603509853611,3.5
010.csv,266842.3,55,-1,0.0195487226597401,3.5
010.csv,266842.85,55,-1,0.0178610631495467,3.5
010.csv,266843.4,55,-1,0.019337765220966,3.5
010.csv,266843.95,55,-1,0.0209551055849013,3.5
010.csv,266844.6,55,-1,0.0191268077821918,3.5
010.csv,266845.15,55,-1,0.0180720205883209,3.5
010.csv,266845.7,55,-1,0.0203222332685788,3.5
010.csv,266846.25,55,-1,0.0176501057107726,3.5
010.csv,266846.8,55,-1,0.0227130842413527,3.5
010.csv,266847.35,55,-1,0.0199706375372885,3.5
010.csv,266847.9,55,-1,0.019408084367224,3.5
010.csv,266848.45,55,-1,0.0203925524148368,3.5
010.csv,266849.0,55,-1,0.0197596800985143,3.5
010.csv,266849.55,55,-1,0.0197596800985143,3.5
010.csv,266850.1,55,-1,0.0183532971733531,3.5
010.csv,266850.65,55,-1,0.0184939354658693,3.5
010.csv,266851.2,55,-1,0.0190564886359337,3.5
010.csv,266851.75,55,-1,0.0208144672923852,3.5
010.csv,266852.3,55,-1,0.0179313822958048,3.5
010.csv,266852.95,55,-1,0.0168062759556759,3.5
010.csv,266854.05,55,-1,0.01701723339445,3.5
010.csv,266855.5,55,-1,0.0201815949760627,3.5
010.csv,266856.15,55,-1,0.0166656376631598,3.5
010.csv,266856.7,55,-1,0.019408084367224,3.5
010.csv,266857.25,55,-1,0.0191971269284498,3.5
010.csv,266857.8,55,-1,0.0234162757039333,3.5
010.csv,266858.35,55,-1,0.0210254247311594,3.5
010.csv,266858.9,55,-1,0.021798935339998,3.5
010.csv,266859.45,55,-1,0.0229240416801269,3.5
010.csv,266860.0,55,-1,0.0265103181392879,3.5
010.csv,266860.55,55,-1,0.0226427650950947,3.5
010.csv,266861.1,55,-1,0.0178610631495467,3.5
010.csv,266861.65,55,-1,0.0178610631495467,3.5
010.csv,266862.2,55,-1,0.0221505310712883,3.5
010.csv,266862.75,55,-1,0.0222911693638044,3.5
010.csv,266863.3,55,-1,0.0208144672923852,3.5
010.csv,266863.85,55,-1,0.0232756374114172,3.5
010.csv,266864.4,55,-1,0.0191268077821918,3.5
010.csv,266864.95,55,-1,0.0252445735066428,3.5
010.csv,266865.5,55,-1,0.0256664883841912,3.5
010.csv,266866.05,55,-1,0.0191971269284498,3.5
010.csv,266866.6,55,-1,0.0203925524148368,3.5
010.csv,266867.15,55,-1,0.0244007437515461,3.5
010.csv,266867.75,55,-1,0.0172281908332242,3.5
010.csv,266868.3,55,-1,0.0168062759556759,3.5
010.csv,266868.85,55,-1,0.0186345737583854,3.5
010.csv,266869.4,55,-1,0.0201815949760627,3.5
010.csv,266869.95,55,-1,0.0187048929046434,3.5
010.csv,266870.5,55,-1,0.0168062759556759,3.5
010.csv,266871.05,55,-1,0.0203222332685788,3.5
010.csv,266871.6,55,-1,0.0199706375372885,3.5
